147613849353989	talk_start	
147613849365689	talk_end	
147613853890248	talk_start	
147613854035356	talk_end	
147613854249069	talk_start	
147613854375776	talk_end	
147613854752598	talk_start	
147613854908906	talk_end	
147613856064873	talk_start	
147613856226582	talk_end	
147613856339888	talk_start	
147613857166536	talk_end	
147613857496754	talk_start	
147613857643363	talk_end	
147613858066587	talk_start	
147613858396606	talk_end	
147613858944937	talk_start	
147613862273028	talk_end	
147613864193137	talk_start	
147613864628162	talk_end	
147613864763070	talk_start	
147613864776771	talk_end	
147613864804772	talk_start	
147613872087789	talk_end	
147613872243098	talk_start	
147613873754384	talk_end	
147613873802887	talk_start	
147613885115934	talk_end	
147613885145736	talk_start	
147613938310877	talk_end	
147613938434284	talk_start	
147613952630096	talk_end	
147613952698300	talk_start	
147613979234917	talk_end	
147613979291421	talk_start	
147613979474631	talk_end	
